epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),valid/box_loss,valid/cls_loss,valid/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,14403.6,1.0329,0.50292,0.93517,0.74131,0.79147,0.77987,0.45091,1.51406,0.72359,1.10529,0.000198206,0.000198206,0.000198206
91,14565.1,1.0153,0.46079,0.91288,0.72588,0.80631,0.76706,0.44523,1.4943,0.71149,1.10135,0.000181703,0.000181703,0.000181703
92,14678.4,0.98968,0.44355,0.90351,0.70893,0.77485,0.75307,0.43561,1.50456,0.72207,1.0995,0.0001652,0.0001652,0.0001652
93,14793.4,0.97844,0.43824,0.90297,0.73495,0.77488,0.75603,0.44082,1.49602,0.71548,1.09773,0.000148696,0.000148696,0.000148696
94,14893.3,0.97243,0.43578,0.90474,0.72836,0.77815,0.76022,0.44593,1.49885,0.71009,1.09849,0.000132193,0.000132193,0.000132193
95,14989.2,0.96417,0.43074,0.90305,0.73367,0.80004,0.77607,0.45507,1.49647,0.70587,1.09608,0.00011569,0.00011569,0.00011569
96,15087.2,0.96364,0.42865,0.89967,0.74383,0.78853,0.76952,0.45278,1.5053,0.70839,1.10219,9.91865e-05,9.91865e-05,9.91865e-05
97,15183.8,0.96078,0.42459,0.89695,0.74095,0.79727,0.76753,0.451,1.50767,0.71858,1.10503,8.26832e-05,8.26832e-05,8.26832e-05
98,15294.2,0.94791,0.42294,0.89822,0.73397,0.77971,0.76635,0.45063,1.50173,0.71151,1.10108,6.61799e-05,6.61799e-05,6.61799e-05
99,15393.8,0.9496,0.42561,0.89201,0.73966,0.78266,0.77339,0.45512,1.49837,0.70993,1.09732,4.96766e-05,4.96766e-05,4.96766e-05
100,15487.8,0.93637,0.41924,0.89389,0.73719,0.78223,0.77312,0.45395,1.50721,0.71386,1.10211,3.31733e-05,3.31733e-05,3.31733e-05
